Sample Name,Signature 1,Signature 2,Signature 3,Signature 5,Signature 6,Signature 8,Signature 13,Signature 17,Signature 18,Signature 20,Signature 26,Signature 30
PD11372,2011,0,0,0,0,0,11782,0,0,0,0,0
PD11374,720,72,0,1212,0,288,91,0,0,0,0,0
PD11375,811,68,0,565,0,490,0,0,0,0,0,0
PD11376,1124,196,0,1528,0,0,0,0,304,0,0,0
PD11379,0,6710,0,1660,0,2118,8894,0,0,0,0,0
PD11380,837,289,0,1594,0,0,0,0,0,0,0,0
PD11381,456,129,0,1512,0,0,0,0,0,0,0,0
PD11383,605,64,0,1277,0,572,61,0,0,0,0,0
PD11384,526,159,0,930,0,0,110,0,0,0,0,0
PD11385,548,97,0,913,0,329,0,0,0,0,0,0
PD11386,947,653,0,1604,0,0,178,0,0,0,0,0
PD11388,1495,267,0,1623,0,1339,265,0,0,0,0,0
PD11389,402,30,0,1000,0,245,0,0,0,0,0,0
PD11391,219,41,0,865,0,149,0,0,0,0,0,0
PD11393,1536,114,0,987,0,1001,124,0,907,0,0,0
PD11394,1641,84,0,0,0,484,0,0,0,0,0,0
PD11395,963,176,0,1398,0,757,0,264,234,0,0,0
PD11396,648,101,0,1088,0,543,55,0,0,0,0,0
PD11397,1269,305,0,1409,0,985,316,0,543,0,0,0
PD11398,748,56,0,767,0,684,92,0,0,0,0,0
PD11399,1313,311,0,1439,0,0,95,0,338,0,0,0
PD11402,836,166,0,1634,0,0,0,0,0,0,0,0
PD11462,980,99,0,1006,0,635,119,0,0,0,0,0
PD11464,882,1432,0,0,0,0,2183,0,0,0,0,0
PD11465,2163,5334,0,3605,0,3327,8122,0,0,0,0,0
PD11740,670,88,0,1166,0,410,0,0,0,0,0,0
PD11741,583,142,0,0,0,807,140,0,304,0,0,0
PD11742,475,478,2159,1287,0,1650,956,0,0,0,0,0
PD11743,698,147,928,1057,0,479,0,0,0,0,0,0
PD11744,545,0,0,1017,0,320,0,0,0,0,0,0
PD11745,518,257,0,828,0,953,205,0,257,0,0,0
PD11748,912,0,5805,1494,0,2934,616,0,0,0,0,0
PD11750,416,0,5650,962,0,0,3050,0,0,0,0,0
PD11751,1121,0,9079,2886,0,1178,2203,181,0,0,0,0
PD11752,2511,0,0,2784,0,1329,260,0,752,0,0,0
PD11753,1154,355,2182,2733,0,0,0,434,0,0,0,0
PD11755,292,0,1292,743,0,265,184,0,0,0,0,0
PD11756,619,254,0,627,0,271,0,0,0,0,0,0
PD11757,151,0,1001,0,0,283,517,0,0,0,0,0
PD11760,1523,151,0,1340,0,0,0,0,1077,0,0,0
PD11761,356,282,0,1585,0,414,70,0,0,0,0,0
PD11762,423,186,0,784,0,300,41,0,0,0,0,0
PD11765,375,95,0,1219,0,243,70,0,0,0,0,0
PD11766,318,136,0,914,0,185,142,0,0,0,0,0
PD11767,210,18,0,439,0,202,0,0,0,0,0,0
PD11769,673,109,0,650,0,244,46,0,0,0,0,0
PD11816,535,535,0,1639,0,605,697,0,0,0,0,0
PD11818,427,49,0,848,0,220,61,0,0,0,0,0
PD11819,475,0,0,903,0,264,44,0,0,0,0,0
PD13162,1160,820,0,0,0,0,3424,0,0,0,0,0
PD13163,900,776,0,1995,0,863,819,0,0,0,0,0
PD13164,673,158,0,1130,0,436,154,0,171,0,0,0
PD13165,1162,1560,0,0,0,1905,656,0,1058,0,0,0
PD13166,591,186,0,1005,0,0,318,0,231,0,0,0
PD13167,857,148,587,656,0,0,157,0,0,0,0,0
PD13168,930,435,0,788,0,0,135,0,240,0,0,0
PD13296,1384,0,9417,1752,0,3315,2205,509,0,0,0,0
PD13297,886,0,5916,0,0,0,725,0,0,0,0,7455
PD13298,1416,244,1815,2394,0,1290,725,0,483,0,0,0
PD13299,425,1034,3460,1087,0,740,3989,0,0,0,0,0
PD13302,1404,317,0,2102,0,1073,0,0,0,0,0,0
PD13304,701,55,0,429,0,332,0,0,0,0,0,0
PD13306,557,371,0,765,0,333,0,0,0,0,0,0
PD13307,1426,2726,0,0,0,0,1201,0,0,0,0,0
PD13310,718,61,0,826,0,226,0,0,0,0,0,0
PD13311,256,0,2257,917,0,857,223,0,0,0,0,0
PD13312,475,37,0,1256,0,217,49,0,0,0,0,0
PD13416,611,81,0,930,0,317,0,0,0,0,0,0
PD13418,2040,1715,0,0,0,0,3053,0,0,0,0,0
PD13419,327,85,0,571,0,109,0,0,0,0,0,0
PD13420,590,37,0,954,0,235,46,0,0,0,0,0
PD13422,586,109,0,642,0,297,0,0,171,0,0,0
PD13424,1394,165,0,945,0,1223,227,0,0,0,0,0
PD13425,1238,5637,3946,2767,0,1455,17864,0,1595,0,0,0
PD13426,875,191,0,1633,0,0,0,0,0,0,0,0
PD13427,324,0,0,610,0,170,30,0,0,0,0,0
PD13428,785,146,0,2369,0,0,122,0,0,0,0,0
PD13602,1204,156,1958,1814,0,0,246,0,536,0,0,0
PD13603,799,310,0,1292,0,0,347,0,316,0,0,0
PD13604,0,42713,0,0,0,2316,44752,0,3321,0,0,0
PD13605,311,19,0,533,0,309,66,0,0,0,0,0
PD13606,1557,268,0,1681,0,1540,201,0,646,0,0,0
PD13607,864,266,0,1177,0,684,297,0,0,0,0,0
PD13608,1339,1096,0,0,0,0,1672,0,0,0,0,0
PD13609,0,1813,0,0,0,0,2893,0,0,0,0,0
PD13618,503,242,0,1016,0,0,72,0,0,0,0,0
PD13619,684,102,0,1326,0,0,0,0,0,0,0,0
PD13620,1455,166,0,1488,0,1269,220,0,0,0,0,0
PD13622,1315,113,0,1087,0,1129,0,0,711,0,0,0
PD13623,997,2303,0,0,0,0,500,0,0,0,0,0
PD13625,1785,517,0,1404,0,4407,379,2747,0,0,0,0
PD13626,361,25,0,494,0,156,40,0,0,0,0,0
PD13627,581,0,5802,1378,0,0,681,0,0,0,0,0
PD13629,633,441,0,955,0,0,0,0,0,0,0,0
PD13630,724,664,0,1024,0,898,797,0,0,0,0,0
PD13631,479,189,0,1246,0,391,105,0,193,0,0,0
PD13752,608,152,0,1310,0,469,0,119,151,0,0,0
PD13753,0,3150,0,0,0,0,4845,0,0,0,0,0
PD13754,650,0,0,1361,0,382,113,0,0,0,0,0
PD13755,550,90,0,1296,0,0,0,0,0,0,0,0
PD13756,502,41,0,1099,0,398,43,0,0,0,0,0
PD13757,408,404,0,484,0,0,191,0,0,0,0,0
PD13758,428,86,0,1603,0,182,0,0,0,0,0,0
PD13760,494,187,1179,788,0,1357,629,0,0,0,0,0
PD13761,299,89,0,1097,0,203,0,0,0,0,0,0
PD13762,486,62,0,816,0,289,0,0,0,0,0,0
PD13763,872,165,0,855,0,671,0,0,0,0,0,0
PD13764,775,279,0,1896,0,1409,471,0,0,0,0,0
PD13765,1303,234,0,1616,0,0,127,0,2199,0,0,0
PD13766,636,2215,0,0,0,0,986,0,0,0,0,0
PD13767,655,341,0,1368,0,0,61,0,213,0,0,0
PD13768,512,45,0,795,0,0,0,0,0,0,0,0
PD13770,608,136,0,708,0,380,0,0,247,0,0,0
PD13771,478,723,5582,2468,0,2570,1268,0,0,0,0,0
PD14432,469,91,0,1072,0,238,0,0,0,0,0,0
PD14433,1227,1906,0,0,0,0,449,0,0,0,0,0
PD14435,1154,245,0,1373,0,696,248,0,0,0,0,0
PD14437,953,163,0,1540,0,1353,354,0,0,0,0,0
PD14439,443,86,0,637,0,0,0,0,150,0,0,0
PD14441,466,146,1227,1292,0,1316,215,0,0,0,0,0
PD14442,410,70,0,878,0,388,0,0,0,0,0,0
PD14450,278,50,0,783,0,152,35,0,0,0,0,0
PD14453,1030,2619,0,3249,0,0,3018,0,0,0,0,0
PD14454,588,146,0,843,0,734,199,0,0,0,0,0
PD14456,797,0,0,768,0,267,0,0,145,0,0,0
PD14457,1091,394,0,2129,0,0,0,0,953,0,0,0
PD14458,564,70,0,635,0,244,0,0,0,0,0,0
PD14459,673,137,0,844,0,0,0,0,432,0,0,0
PD14460,1112,2334,0,0,0,0,1078,0,0,0,0,0
PD14461,490,0,0,728,0,178,40,0,0,0,0,0
PD14462,600,404,0,1371,0,0,253,0,0,0,0,0
PD14465,1006,131,0,1088,0,749,123,0,0,0,0,0
PD14467,656,96,0,560,0,230,82,0,0,0,0,0
PD14468,565,74,0,725,0,185,0,0,0,0,0,0
PD14471,1388,99,0,805,0,866,112,0,0,0,0,0
PD14472,563,204,0,1092,0,321,118,0,0,0,0,0
PD14473,628,60,0,542,0,266,47,0,0,0,0,0
PD17973,546,65,0,837,0,0,0,0,577,0,0,0
PD17981,2460,1330,0,1730,0,0,262,0,1182,0,0,0
PD17991,468,65,0,689,0,0,0,0,0,0,0,0
PD17994,486,235,0,520,0,0,65,0,0,0,0,0
PD18017,440,114,0,1165,0,338,51,0,0,0,0,0
PD18020,747,0,6873,1952,0,3857,4343,0,0,0,0,0
PD18022,531,128,0,481,0,336,126,0,0,0,0,0
PD18024,547,0,5622,1298,0,2858,684,95,0,0,0,0
PD18031,719,168,0,1089,0,546,247,0,0,0,0,0
PD18037,2943,369,0,2132,0,0,0,0,527,0,0,0
PD18045,2544,3999,0,1916,0,1314,9695,0,0,0,0,0
PD18046,939,128,0,1125,0,607,102,0,0,0,0,0
PD18047,831,109,0,933,0,389,82,0,0,0,0,0
PD18048,1199,128,0,2691,0,498,270,0,0,0,0,0
PD18049,950,511,0,1675,0,0,256,0,0,0,0,0
PD18050,1956,506,0,0,0,760,344,0,0,0,0,0
PD18100,417,114,0,577,0,261,37,0,125,0,0,0
PD18101,311,0,0,333,0,180,39,0,0,0,0,0
PD18116,482,108,0,645,0,245,64,0,0,0,0,0
PD18149,561,74,0,1533,0,311,91,0,0,0,0,0
PD18188,616,111,0,1199,0,257,53,0,0,0,0,0
PD18189,720,527,0,1587,0,690,279,0,469,0,0,0
PD18247,0,3398,0,0,0,0,5738,0,0,0,0,0
PD18251,618,160,0,1858,0,659,192,0,0,0,0,0
PD18257,568,296,0,965,0,478,395,0,271,0,0,0
PD18258,422,34,0,426,0,206,0,0,54,0,0,0
PD18259,992,510,2445,0,0,2274,418,0,0,0,0,0
PD18264,0,4554,0,0,0,0,2126,0,0,0,0,0
PD18269,334,26,0,856,0,171,0,0,0,0,0,0
PD18728,352,224,0,965,0,228,0,0,0,0,0,0
PD18730,501,670,0,0,0,0,730,0,0,0,0,0
PD18733,539,211,0,1476,0,720,73,0,0,0,0,0
PD18734,978,150,0,1215,0,1029,107,0,349,0,0,0
PD18748,969,688,0,1143,0,0,158,0,0,0,0,0
PD18749,0,1401,0,0,0,0,3260,0,0,0,0,0
PD18751,772,82,0,536,0,471,46,0,0,0,0,0
PD18754,654,784,0,884,0,0,271,0,0,0,0,0
PD18756,726,99,0,663,0,0,0,0,147,0,0,0
PD18768,577,92,0,1376,0,456,55,0,0,0,0,0
PD18769,466,659,0,0,0,0,1857,0,0,0,0,0
PD18771,461,35,0,1227,0,0,53,0,0,0,0,0
PD18775,457,91,0,607,0,175,0,0,0,0,0,0
PD18776,488,0,0,866,0,235,40,0,0,0,0,0
PD22036,255,17,0,587,0,188,0,0,0,0,0,0
PD22251,645,76,0,784,0,0,0,0,0,0,0,0
PD22355,1014,0,3740,1206,0,3376,425,0,0,0,0,0
PD22357,1347,3073,0,0,0,0,3299,0,0,0,0,0
PD22358,284,0,3055,899,0,937,983,0,0,0,0,0
PD22359,521,269,0,942,0,0,0,0,85,0,0,0
PD22360,312,211,4705,0,0,2489,793,0,0,0,0,0
PD22361,1231,1876,0,0,0,0,2792,0,0,0,0,0
PD22362,282,354,0,718,0,520,75,0,0,0,0,0
PD22363,436,165,4024,1126,0,2872,282,0,0,0,0,0
PD22364,911,549,0,617,0,0,325,0,0,0,0,0
PD22365,294,42,0,771,0,730,69,0,0,0,0,0
PD22366,666,487,5634,0,0,1597,1425,0,0,0,0,0
PD23550,651,492,0,1615,0,0,108,0,0,0,0,0
PD23554,243,0,3948,0,0,2251,457,0,0,0,0,0
PD23558,709,0,3535,2282,0,2699,909,0,0,0,0,0
PD23559,537,211,0,2434,0,1591,609,0,0,0,0,0
PD23560,504,271,0,1174,0,624,433,0,0,0,0,0
PD23561,1325,18114,0,0,3953,0,30615,0,0,0,4021,0
PD23562,707,0,4433,1603,0,0,605,0,0,0,0,0
PD23563,264,0,3351,867,0,3418,323,0,0,0,0,0
PD23564,768,0,0,2361,61435,0,0,0,0,0,18883,0
PD23565,2074,3451,0,0,0,0,3327,0,0,0,0,0
PD23566,599,0,3762,454,0,1852,0,0,0,0,0,0
PD23567,650,80,3004,1127,0,2337,0,0,0,0,0,0
PD23569,72,41,0,548,0,320,74,0,0,0,0,0
PD23570,430,691,0,833,0,0,291,0,0,0,0,0
PD23574,671,0,6833,1436,0,1769,2385,0,0,0,0,0
PD23577,354,0,1454,1212,0,673,181,96,0,0,0,0
PD23578,191,0,2528,1361,0,2437,323,0,0,0,0,0
PD23579,1423,0,0,1456,23145,0,0,0,0,24170,37117,0
PD24182,574,348,4922,1820,0,0,1873,0,0,0,0,0
PD24186,0,0,2710,2615,0,1596,358,209,0,0,0,0
PD24189,934,0,0,1367,12148,0,0,0,0,5404,9737,0
PD24190,0,144,0,3619,0,3234,673,2138,0,0,0,0
PD24191,310,0,2966,1808,0,825,211,0,0,0,0,0
PD24192,432,0,8853,4763,0,1757,2022,0,0,0,0,0
PD24193,1012,593,0,0,3406,0,400,0,0,1441,4385,0
PD24194,0,5344,0,1913,0,774,5535,129,0,0,0,0
PD24195,429,121,0,1356,0,334,0,0,0,0,0,0
PD24196,314,140,632,651,0,565,190,0,128,0,0,0
PD24197,0,314,7558,1219,0,10397,513,214,0,0,0,0
PD24199,540,168,0,1316,0,557,273,0,0,0,0,0
PD24200,41,0,450,164,0,295,24,0,0,0,0,0
PD24201,1110,734,3180,4398,0,9769,1287,0,0,0,0,0
PD24202,585,190,3224,1242,0,1626,912,0,0,0,0,0
PD24204,1554,0,0,903,0,0,0,0,338,0,0,0
PD24205,615,239,3588,1903,0,2278,305,0,0,0,0,0
PD24206,333,355,0,1564,0,1152,206,0,0,0,0,0
PD24207,1630,1694,0,0,0,0,1421,0,0,0,0,0
PD24208,612,15048,0,0,0,0,9964,0,0,0,0,0
PD24209,297,2243,949,0,0,1223,5457,0,0,0,0,0
PD24212,588,519,2990,2030,0,3495,433,0,0,0,0,0
PD24214,1270,0,0,803,0,594,0,0,412,0,0,0
PD24215,0,184,0,2678,0,2432,642,0,241,0,0,0
PD24216,0,2660,0,4234,0,0,2445,0,0,0,0,0
PD24217,0,4080,0,284,0,329,10612,0,0,0,0,0
PD24218,463,163,0,2567,0,0,95,0,0,0,0,0
PD24219,1635,0,0,1042,0,536,106,0,0,0,0,0
PD24220,1520,272,0,0,0,896,923,0,0,0,0,0
PD24221,131,0,0,1299,0,575,141,0,147,0,0,0
PD24223,972,1041,0,1415,0,0,0,0,0,0,0,0
PD24224,473,132,0,965,0,523,119,0,0,0,0,0
PD24225,285,372,0,566,0,390,208,0,0,0,0,0
PD24302,382,100,0,786,0,0,0,0,0,0,0,0
PD24303,199,0,2321,754,0,613,613,0,0,0,0,0
PD24304,232,0,2948,0,0,3452,221,0,0,0,0,0
PD24306,155,0,1469,451,0,1079,182,0,0,0,0,0
PD24307,315,77,0,880,0,283,39,0,0,0,0,0
PD24308,625,0,724,2534,0,516,353,0,0,0,0,0
PD24314,782,85,0,1795,0,746,215,0,247,0,0,0
PD24318,669,54,0,1723,0,0,100,0,0,0,0,0
PD24320,0,0,0,0,1010,0,0,0,0,0,14685,0
PD24322,919,753,0,2206,0,0,990,0,0,0,0,0
PD24325,1167,0,3766,3150,0,940,1294,70,0,0,0,0
PD24326,338,10724,0,1641,0,0,9665,0,1252,0,0,0
PD24327,779,6158,0,1152,0,695,7168,233,0,0,0,0
PD24329,908,140,0,519,0,469,75,0,0,0,0,0
PD24332,808,181,0,394,0,537,0,0,0,0,0,0
PD24333,878,1726,0,581,0,0,1249,18450,0,0,0,0
PD24335,1553,240,0,1115,0,712,328,0,0,0,0,0
PD24336,239,368,0,1863,0,716,153,0,0,0,0,0
PD24337,416,0,2689,1125,0,1141,336,0,0,0,0,0
PD3851,394,123,0,665,0,605,32,0,0,0,0,0
PD3890,375,194,3418,798,0,0,648,151,0,0,0,0
PD3904,286,440,2168,1285,0,1135,354,0,0,0,0,0
PD3905,299,227,1878,740,0,937,522,0,0,0,0,0
PD3945,0,344,2586,3293,0,3689,639,0,0,0,0,0
PD3989,754,344,0,769,0,371,0,0,0,0,0,0
PD4005,517,776,3238,0,0,0,1510,0,0,0,0,0
PD4006,676,0,5772,0,0,2780,347,0,0,0,0,0
PD4069,812,110,0,838,0,0,0,0,325,0,0,0
PD4072,0,13732,0,0,0,305,13894,0,0,0,0,0
PD4076,786,294,0,1011,0,0,0,0,0,0,0,0
PD4085,602,122,0,1091,0,822,67,0,0,0,0,0
PD4086,279,219,503,544,0,0,406,0,0,0,0,0
PD4088,547,99,461,253,0,0,69,0,262,0,0,0
PD4103,1140,721,0,1808,0,753,514,0,282,0,0,0
PD4107,0,877,2922,2407,0,3464,204,0,0,0,0,0
PD4109,1764,0,1143,3675,0,1828,1903,0,0,0,0,0
PD4115,459,192,3565,2238,0,2664,344,290,0,0,0,0
PD4116,0,335,2787,1688,0,2436,924,0,0,0,0,0
PD4192,910,341,2294,0,0,0,747,0,0,0,0,0
PD4194,468,143,0,353,0,254,210,0,0,0,0,0
PD4198,1055,657,0,1494,0,1012,299,0,0,0,0,0
PD4199,0,3599,0,0,0,0,3349,0,0,0,0,0
PD4225,1031,131,0,533,0,260,0,0,0,0,0,0
PD4248,340,154,0,1140,0,414,148,0,0,0,0,0
PD4252,1076,0,0,1592,0,492,200,0,413,0,0,0
PD4255,749,0,0,1973,0,837,241,0,754,0,0,0
PD4261,410,37,0,1123,0,186,40,0,0,0,0,0
PD4264,1026,279,0,813,0,0,0,0,0,0,0,0
PD4266,626,1224,0,0,0,0,538,0,0,0,0,0
PD4267,745,148,0,716,0,0,510,0,0,0,0,0
PD4315,614,515,0,978,0,812,469,0,0,0,0,0
PD4604,526,301,3301,2056,0,2561,578,0,0,0,0,0
PD4605,1046,78,0,1325,0,0,201,0,0,0,0,0
PD4606,401,43,0,685,0,0,0,0,0,0,0,0
PD4607,0,16095,0,0,0,0,9858,0,0,0,0,0
PD4613,575,948,0,0,0,0,672,0,0,0,0,0
PD4826,681,553,0,1259,0,740,585,0,0,0,0,0
PD4833,423,129,3714,982,0,718,435,0,0,0,0,0
PD4836,690,138,1044,1531,0,604,296,0,0,0,0,0
PD4841,656,159,1798,2138,0,1903,366,0,0,0,0,0
PD4844,568,0,6149,3480,0,1452,1161,0,0,0,0,0
PD4845,525,0,1058,1432,0,1821,100,799,0,0,0,0
PD4847,970,257,0,5343,0,3022,215,525,710,0,0,0
PD4872,0,560,0,1477,0,1880,893,0,0,0,0,0
PD4874,0,900,0,2677,0,3353,2779,0,0,0,0,0
PD4875,638,163,1721,2268,0,1691,324,0,0,0,0,0
PD4876,272,240,3105,931,0,0,360,0,0,0,0,0
PD4951,277,85,945,741,0,515,216,0,0,0,0,0
PD4952,1109,650,4080,2586,0,2771,837,0,0,0,0,0
PD4953,329,220,2559,1900,0,1601,337,0,0,0,0,0
PD4954,498,215,2647,1213,0,747,444,0,0,0,0,0
PD4955,353,283,1714,1503,0,1883,334,0,0,0,0,0
PD4956,766,0,7852,1627,0,0,1337,0,0,0,0,0
PD4957,298,213,740,939,0,818,271,0,0,0,0,0
PD4958,0,665,1511,3275,0,3088,799,0,0,0,0,0
PD4959,488,123,1358,1104,0,1420,118,0,0,0,0,0
PD4962,0,1689,0,0,0,2240,2914,0,0,0,0,0
PD4965,799,116,0,1203,0,535,53,0,0,0,0,0
PD4967,533,609,0,1158,0,0,927,0,0,0,0,0
PD4968,1283,1115,0,1616,0,766,0,0,0,0,0,0
PD4969,240,51,0,514,0,227,0,0,0,0,0,0
PD4970,668,118,0,1252,0,277,95,0,0,0,0,0
PD4971,970,124,0,745,0,797,129,0,0,0,0,0
PD4972,355,33,0,542,0,189,26,0,0,0,0,0
PD4975,698,109,3959,1412,0,987,341,0,0,0,0,0
PD4976,2097,175,0,2804,0,0,499,0,700,0,0,0
PD4977,0,21981,0,2315,0,0,17259,0,703,0,0,0
PD4978,610,628,0,1243,0,671,584,0,0,0,0,0
PD4980,675,0,0,1374,0,1035,210,0,502,0,0,0
PD4981,626,56,0,605,0,376,0,0,0,0,0,0
PD4982,534,47,0,685,0,208,0,0,0,0,0,0
PD4983,427,70,0,1266,0,0,0,0,0,0,0,0
PD4985,531,79,0,1129,0,210,55,0,0,0,0,0
PD4986,402,49,298,1016,0,211,0,0,0,0,0,0
PD5925,0,280,2877,2655,0,1608,1360,0,0,0,0,0
PD5928,584,281,2567,1012,0,2419,251,0,0,0,0,0
PD5930,356,0,1910,616,0,573,491,0,0,0,0,0
PD5932,536,0,5501,2251,0,0,1772,0,0,0,0,0
PD5934,696,0,6408,521,0,3548,406,0,0,0,0,0
PD5935,877,0,5508,1971,0,0,1315,0,0,0,0,0
PD5936,752,258,0,1316,0,456,0,0,0,0,0,0
PD5937,1099,29416,0,0,17791,0,19561,0,0,0,8230,0
PD5942,1290,231,2198,1763,0,0,283,0,225,0,0,0
PD5944,744,99,0,1136,0,546,84,0,0,0,0,0
PD5945,344,0,4532,1104,0,2331,522,0,0,0,0,0
PD5946,1424,195,0,1640,0,0,198,0,455,0,0,0
PD5947,513,210,0,532,0,319,205,0,0,0,0,0
PD5948,442,0,8707,5513,0,0,510,0,0,0,0,0
PD5950,953,0,0,712,0,304,0,0,221,0,0,0
PD5951,1514,217,0,887,0,471,104,0,0,0,0,0
PD5953,775,49,0,1001,0,311,0,0,0,0,0,0
PD5956,657,223,0,1072,0,1761,0,0,372,0,0,0
PD5959,601,311,0,1518,0,0,74,0,0,0,0,0
PD5960,449,151,838,1457,0,966,184,0,0,0,0,0
PD5961,826,338,0,906,0,0,0,0,244,0,0,0
PD5964,337,99,0,522,0,428,74,0,130,0,0,0
PD6016,487,433,0,756,0,0,235,0,0,0,0,0
PD6041,505,68,0,976,0,222,0,0,0,0,0,0
PD6042,0,577,0,2805,0,2398,1339,0,0,0,0,0
PD6043,0,6348,3522,992,0,4100,7151,165,486,0,0,0
PD6044,725,92,0,1623,0,0,133,0,0,0,0,0
PD6045,345,534,0,871,0,402,181,0,0,0,0,0
PD6046,831,156,0,1057,0,583,87,0,262,0,0,0
PD6047,1985,427,1763,4068,0,0,262,0,937,0,0,0
PD6048,1017,215,0,737,0,673,181,0,279,0,0,0
PD6404,780,321,2807,1829,0,0,533,283,0,0,0,0
PD6405,2315,0,0,0,0,0,33002,0,0,0,0,0
PD6406,410,0,3435,0,0,850,331,0,0,0,0,0
PD6409,329,0,4220,0,0,3064,1197,0,0,0,0,0
PD6410,462,0,3661,1280,0,1031,879,0,0,0,0,0
PD6411,445,103,4568,0,0,954,605,0,0,0,0,0
PD6412,2011,0,0,2619,9832,0,691,0,0,0,10034,0
PD6413,394,312,2250,0,0,1022,610,0,0,0,0,0
PD6414,371,158,0,1142,0,0,46,44,0,0,0,0
PD6415,773,697,4753,0,0,1605,1717,0,0,0,0,0
PD6416,0,142,746,592,0,1115,477,259,0,0,0,0
PD6417,849,54,0,573,0,0,70,0,0,0,0,0
PD6418,541,86,0,1169,0,224,0,0,0,0,0,0
PD6422,758,448,0,2499,0,930,179,0,367,0,0,0
PD6466,516,166,0,1127,0,0,0,0,0,0,0,0
PD6684,713,0,7891,2159,0,0,2713,201,0,0,0,0
PD6711,630,169,0,1115,0,0,0,0,0,0,0,0
PD6719,610,0,2222,988,0,984,167,0,0,0,0,0
PD6720,607,118,0,1195,0,0,98,0,0,0,0,0
PD6721,767,170,0,850,0,377,67,0,0,0,0,0
PD6722,0,1943,978,1204,0,1279,4706,0,0,0,0,0
PD6727,1625,354,2533,1319,0,0,848,0,0,0,0,0
PD6728,489,90,731,434,0,672,162,0,0,0,0,0
PD6729,1073,90,1466,1562,0,506,175,0,0,0,0,0
PD6730,671,0,5120,1194,0,2529,575,0,0,0,0,0
PD6731,0,1523,0,0,0,2903,4123,0,0,0,0,0
PD6732,472,127,730,1199,0,0,387,0,0,0,0,0
PD6733,1225,576,0,1746,0,0,792,0,337,0,0,0
PD7066,688,0,1745,562,0,338,305,0,0,0,0,0
PD7067,832,102,0,2663,0,1494,692,197,0,0,0,0
PD7069,898,1145,0,1553,0,0,1535,0,0,0,0,0
PD7199,485,45,0,382,0,218,0,0,0,0,0,0
PD7201,588,135,0,861,0,0,0,0,0,0,0,0
PD7202,1836,482,0,1488,0,0,271,0,1064,0,0,0
PD7203,253,251,0,473,0,0,333,0,254,0,0,0
PD7204,729,226,0,920,0,301,0,0,0,0,0,0
PD7205,991,1224,0,3048,0,0,2595,0,0,0,0,0
PD7206,799,150,0,2219,0,1369,203,0,0,0,0,0
PD7207,988,416,0,1450,0,0,0,0,0,0,0,0
PD7209,701,139,0,641,0,0,0,0,184,0,0,0
PD7210,461,38,0,572,0,248,0,0,0,0,0,0
PD7211,701,122,3860,1122,0,2062,419,0,0,0,0,0
PD7214,344,120,0,1029,0,0,0,0,0,0,0,0
PD7215,414,1066,0,1809,0,1677,1418,0,0,0,0,0
PD7217,583,757,2868,2148,0,1453,1360,0,0,0,0,0
PD7218,579,56,0,612,0,0,0,0,227,0,0,0
PD7219,510,4455,0,0,0,0,6656,0,0,0,0,0
PD7220,910,469,0,1113,0,0,217,0,0,0,0,0
PD7221,758,405,0,675,0,0,202,0,0,0,0,0
PD7238,775,411,0,1031,0,0,0,0,0,0,0,0
PD7240,1432,134,1143,2201,0,0,278,0,0,0,0,0
PD7243,1066,607,0,2473,0,1565,323,0,740,0,0,0
